0 [1.00e+00, 1.00e+00]
200 [9.85e-01, 1.00e+00]
400 [9.85e-01, 1.00e+00]
600 [9.86e-01, 1.00e+00]
800 [9.86e-01, 1.00e+00]
1000 [9.87e-01, 1.00e+00]
1200 [9.88e-01, 9.99e-01]
1400 [9.89e-01, 9.98e-01]
1600 [9.90e-01, 9.98e-01]
1800 [9.91e-01, 9.97e-01]
2000 [9.92e-01, 9.96e-01]
2200 [9.94e-01, 9.95e-01]
2400 [9.95e-01, 9.93e-01]
2600 [9.95e-01, 9.92e-01]
2800 [9.97e-01, 9.90e-01]
3000 [9.97e-01, 9.88e-01]
3200 [9.99e-01, 9.86e-01]
3400 [9.98e-01, 9.83e-01]
3600 [1.00e+00, 9.81e-01]
3800 [1.00e+00, 9.79e-01]
4000 [1.00e+00, 9.75e-01]
4200 [1.01e+00, 9.72e-01]
4400 [1.01e+00, 9.68e-01]
4600 [1.01e+00, 9.64e-01]
4800 [1.01e+00, 9.60e-01]
5000 [1.01e+00, 9.55e-01]
5200 [1.02e+00, 9.50e-01]
5400 [1.02e+00, 9.43e-01]
5600 [1.02e+00, 9.37e-01]
5800 [1.03e+00, 9.30e-01]
6000 [1.03e+00, 9.23e-01]
6200 [1.04e+00, 9.15e-01]
6400 [1.04e+00, 9.05e-01]
6600 [1.04e+00, 8.96e-01]
6800 [1.05e+00, 8.85e-01]
7000 [1.05e+00, 8.74e-01]
7200 [1.05e+00, 8.60e-01]
7400 [1.06e+00, 8.47e-01]
7600 [1.06e+00, 8.32e-01]
7800 [1.07e+00, 8.17e-01]
8000 [1.07e+00, 7.98e-01]
8200 [1.07e+00, 7.79e-01]
8400 [1.08e+00, 7.60e-01]
8600 [1.08e+00, 7.37e-01]
8800 [1.09e+00, 7.13e-01]
9000 [1.09e+00, 6.89e-01]
9200 [1.10e+00, 6.62e-01]
9400 [1.10e+00, 6.33e-01]
9600 [1.10e+00, 6.03e-01]
9800 [1.11e+00, 5.70e-01]
10000 [1.11e+00, 5.35e-01]
10200 [1.11e+00, 4.99e-01]
10400 [1.12e+00, 4.61e-01]
10600 [1.12e+00, 4.21e-01]
10800 [1.12e+00, 3.79e-01]
11000 [1.13e+00, 3.36e-01]
11200 [1.13e+00, 2.92e-01]
11400 [1.13e+00, 2.47e-01]
11600 [1.13e+00, 2.00e-01]
11800 [1.14e+00, 1.50e-01]
12000 [1.14e+00, 1.03e-01]
12200 [1.14e+00, 5.55e-02]
12400 [1.14e+00, 7.23e-03]
12600 [1.15e+00, -4.06e-02]
12800 [1.15e+00, -8.83e-02]
13000 [1.15e+00, -1.34e-01]
13200 [1.15e+00, -1.80e-01]
13400 [1.15e+00, -2.24e-01]
13600 [1.16e+00, -2.62e-01]
13800 [1.16e+00, -3.02e-01]
14000 [1.16e+00, -3.38e-01]
14200 [1.16e+00, -3.76e-01]
14400 [1.16e+00, -4.11e-01]
14600 [1.17e+00, -4.44e-01]
14800 [1.17e+00, -4.71e-01]
15000 [1.17e+00, -4.99e-01]
15200 [1.17e+00, -5.22e-01]
15400 [1.18e+00, -5.45e-01]
15600 [1.18e+00, -5.65e-01]
15800 [1.18e+00, -5.70e-01]
16000 [1.18e+00, -5.89e-01]
16200 [1.18e+00, -6.04e-01]
16400 [1.19e+00, -6.16e-01]
16600 [1.19e+00, -6.27e-01]
16800 [1.19e+00, -6.37e-01]
17000 [1.20e+00, -6.44e-01]
17200 [1.20e+00, -6.50e-01]
17400 [1.20e+00, -6.56e-01]
17600 [1.21e+00, -6.61e-01]
17800 [1.21e+00, -6.65e-01]
18000 [1.21e+00, -6.68e-01]
18200 [1.22e+00, -6.70e-01]
18400 [1.22e+00, -6.73e-01]
18600 [1.20e+00, -6.60e-01]
18800 [1.20e+00, -6.62e-01]
19000 [1.20e+00, -6.64e-01]
19200 [1.20e+00, -6.67e-01]
19400 [1.20e+00, -6.70e-01]
19600 [1.20e+00, -6.73e-01]
19800 [1.20e+00, -6.76e-01]
20000 [1.21e+00, -6.79e-01]
20200 [1.21e+00, -6.82e-01]
20400 [1.21e+00, -6.85e-01]
20600 [1.21e+00, -6.88e-01]
20800 [1.21e+00, -6.91e-01]
21000 [1.21e+00, -6.93e-01]
21200 [1.22e+00, -6.95e-01]
21400 [1.22e+00, -6.97e-01]
21600 [1.22e+00, -6.97e-01]
21800 [1.22e+00, -6.99e-01]
22000 [1.23e+00, -6.98e-01]
22200 [1.23e+00, -7.00e-01]
22400 [1.23e+00, -6.98e-01]
22600 [1.24e+00, -6.99e-01]
22800 [1.24e+00, -6.98e-01]
23000 [1.24e+00, -6.99e-01]
23200 [1.25e+00, -6.98e-01]
23400 [1.25e+00, -6.97e-01]
23600 [1.25e+00, -6.97e-01]
23800 [1.26e+00, -6.98e-01]
24000 [1.26e+00, -6.98e-01]
24200 [1.26e+00, -6.99e-01]
24400 [1.27e+00, -6.99e-01]
24600 [1.27e+00, -7.00e-01]
24800 [1.28e+00, -7.01e-01]
25000 [1.28e+00, -7.02e-01]
25200 [1.28e+00, -7.03e-01]
25400 [1.29e+00, -7.05e-01]
25600 [1.29e+00, -7.06e-01]
25800 [1.29e+00, -7.07e-01]
26000 [1.30e+00, -7.08e-01]
26200 [1.30e+00, -7.10e-01]
26400 [1.30e+00, -7.12e-01]
26600 [1.30e+00, -7.13e-01]
26800 [1.31e+00, -7.15e-01]
27000 [1.31e+00, -7.16e-01]
27200 [1.31e+00, -7.18e-01]
27400 [1.32e+00, -7.20e-01]
27600 [1.32e+00, -7.21e-01]
27800 [1.32e+00, -7.23e-01]
28000 [1.30e+00, -7.27e-01]
28200 [1.30e+00, -7.32e-01]
28400 [1.30e+00, -7.37e-01]
28600 [1.30e+00, -7.42e-01]
28800 [1.30e+00, -7.47e-01]
29000 [1.30e+00, -7.53e-01]
29200 [1.30e+00, -7.59e-01]
29400 [1.30e+00, -7.65e-01]
